country,iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dominica,DMA,21661.533677547617,21751.460091752768,21752.757509398045,21728.97226204624,21697.562926439172,21642.429000859356,21607.968143206803,21415.0165981386,21240.3232386387,21083.103437986272,20931.86209692025,20755.06331096091,20654.703178255735,20680.9761591481,20686.480845684273,20662.5156071895,20729.11310408452,20699.805998566488,20650.276179897475,20817.04227328571,21074.55646745512,21410.633319596545,21670.230989584565,21963.337756130037,22230.616634151105,22335.823173974983,22305.09824319088,22290.412060764127
Dominican Republic,DOM,19942.653893047867,19632.610477660663,19267.06057409542,19065.144500936414,18856.912861760364,18776.87372528306,18749.983062335596,18761.29817025091,18638.905755270327,18460.130393032177,18153.32794599794,17972.18192458407,17905.263137128844,18103.89187549663,18404.18039122941,18581.177558286417,18641.035815556905,18538.868247288276,18330.438566302968,18253.63375816326,18235.036557202056,18275.238526129495,18581.303070701284,18997.44593999097,19254.049054014693,19519.060745079812,19601.24322757758,19420.31938915946
East Asia,NA,24280.84869261976,24239.392756457582,24069.89904298548,23800.14509030541,23474.390691554778,23227.43980675751,22969.567436695404,22618.654726036653,22312.700535577045,21970.244057172993,21677.277127831403,21281.69441613882,20990.41632499385,20648.141973915404,20319.364515669848,19791.880059767183,19116.679438017138,18713.64853679452,18569.32155721795,18504.26137537798,18447.6410898489,18355.63985247938,18208.57593760575,17940.832812532346,17937.637868344078,18001.083530156076,17801.31062845957,17410.344828123903
Eastern Europe,NA,26047.295657460345,26368.775833806503,27446.895663451436,30129.365513158813,31790.68826265135,31339.046990689985,29992.23701845379,28754.86197654344,28160.204322137917,29276.289806899313,29980.965450874857,30133.2965798881,30558.208365348582,30806.78581292674,30678.508725635857,31441.528575206197,29843.876078389996,29026.07490130415,28804.33892909588,27469.292418503395,27134.808315431997,25889.67718149202,25331.295630236735,24879.58594521274,24678.52059166809,25027.409379891054,24446.171557536258,23956.167045586437
Eastern Sub-Saharan Africa,NA,27431.39985511068,27479.333197633365,27600.931022531335,27725.538114552233,27677.71057140384,27588.28921200416,27394.78378805876,27156.140692805868,26829.931717245592,26310.844126999193,25834.627607031292,25301.42051565037,24881.647890510987,24546.24106720808,24239.280037788096,23883.96315670887,23622.77198981,23350.426560541415,23100.41574763854,22875.33925290152,22678.2306697578,22479.49201924856,22288.554270932334,22096.927092341277,21914.75009740812,21759.161692133657,21581.46407159775,21432.315223713664
Ecuador,ECU,19709.13310501973,20051.878057710095,19798.01226626894,19416.775563105806,19070.742626828345,18674.17058759086,18685.81377941034,18224.63162872304,18337.374868146773,18293.34770734437,18126.751771319523,17732.74127609438,18209.98628638629,18381.80652348774,18447.293966974037,18653.19994566132,18681.531295290453,18691.201754698817,18676.829841398245,18554.823622318258,18471.74825885738,18319.312955107132,18121.00770366936,17837.22856750112,17596.2754521372,17458.858400760157,17474.52016955712,17388.039304137317
Egypt,EGY,30628.286094628493,30190.427662860304,29620.37307059815,29854.986831167727,29786.61495517906,29107.01732714041,28920.10464561153,28957.95368029394,28663.54346359283,28543.55405116895,28060.23054074462,28754.554113048136,29022.056635304772,29216.449181632663,29079.663821353664,28956.28736997219,29013.78912452567,28635.45101022263,28721.78025208491,29082.191787686985,29081.94916893055,28814.22040235178,28687.07473213689,28062.030887343764,27798.83003996236,28105.03116196908,27878.733409835964,27731.46063173769
El Salvador,SLV,21177.909353568848,21176.130518279944,21434.912130669636,21195.309475040067,21333.437323997117,20381.175837857707,20327.196764997097,20145.575050740015,20043.330836177443,19896.752903996516,19518.688823270404,19229.66655380558,19159.473552926745,19294.47461675915,19651.490944924062,19850.186096339512,19559.949260435395,20046.977221440808,19665.7514843786,19864.395537911787,19542.4822990051,19527.401260513296,19082.441597556983,19199.505133640338,19555.97212854642,19502.70960320264,19367.483018926756,19197.850020703627
England,NA,21032.467297604395,20742.87356900596,20402.325071520412,20331.675410440483,19920.82493265274,19887.465928105514,19661.323084908658,19386.878696074527,19245.21213960118,19060.18147402922,18806.24906233576,18652.77326762119,18600.85335092826,18536.422546587164,18139.580473766266,17944.430422206304,17873.380880291665,17647.711157042482,17563.39397474485,17308.6260977461,17125.57674831014,16868.185144297473,16707.062055403556,16728.689262231466,16646.566319563204,16692.101916754462,16729.293128175515,16724.151930317603
Equatorial Guinea,GNQ,34407.543050697095,34207.34234240837,33677.55479146075,33433.26042660665,33156.01186242622,32979.17209368186,32545.90696845475,30613.58007380572,29364.25655788512,28313.442449730363,27084.050176072356,25755.96463828082,24535.696631212784,23973.67216644685,23122.402372803776,22796.926439142484,22926.836614342516,22558.617329382767,22217.648347675047,22084.64759735031,21772.73691156285,21332.08508833224,21154.367408461563,20892.81000858696,20921.027349895154,20801.7494858567,20769.829008461373,20663.76872150389
Eritrea,ERI,34192.516447583344,35779.22616784865,35571.585126847036,35191.20893698839,35175.551723129975,34621.90905438792,35002.949232882755,34479.10560084002,33884.99359889431,33187.17813633631,32343.18153255506,32251.68322902634,31618.633889468,31210.80744115051,30913.740292109134,30567.69159946086,30257.752245675863,29831.087573518133,29437.490373087177,29020.650002828213,28810.773870016616,28408.93490571935,28014.89045497292,27626.364726597178,27281.897384384363,27126.101718128262,26713.38306152379,26255.148174637343
Estonia,EST,25402.170683784712,25886.620766194133,25888.781259543382,27182.21752725029,28580.454117080106,27617.21140321139,25513.075334943835,25206.063312277725,25733.91718296854,24894.20064210203,24629.59146730303,24857.129963499596,24350.272644199493,23807.327493193046,23427.57300038375,23034.756768622807,22899.461009181552,22867.23024152551,21854.10972343641,21162.623053994696,20229.219201884905,20030.84644064865,19897.393779977436,19320.57089804449,19215.76192413855,18712.96376126602,18507.46427073987,18361.94995478027
Eswatini,SWZ,27384.7087596155,27209.158817459043,26916.997301287494,26652.369164206902,26855.361811437822,27436.68555648336,28041.359019958345,28380.480232811944,29205.026038840704,30033.681460291496,31303.650114779597,32161.86063013712,33008.606078435776,33350.45347851159,33552.7403960254,33690.98359426988,33294.70309448024,32974.96233279076,32880.87942225928,32729.793823203585,32309.34777977893,31591.083679421477,31140.776182799913,30602.29194066595,29715.503787117825,28667.726622023067,27801.438943100755,26950.942541844543
Ethiopia,ETH,29463.1789725046,29357.233970872498,29376.06403476931,29229.464935170978,28973.089256070783,28617.2964364877,27989.41623491362,27436.15109337304,26739.87549618474,25992.171233993227,25282.962040219496,24664.405826743012,24016.347000989263,23541.609458018585,23126.3312209658,22639.23071080019,22254.36941619274,21827.916073564025,21430.782719204068,21075.287723513775,20684.435279241225,20321.884296086824,19975.497983998415,19661.173848512135,19451.137537406088,19243.4254720069,19060.972847663223,18979.944525365245
Fiji,FJI,29511.403572967367,29829.29402481037,30021.537234020452,30469.704013297167,31046.47186488686,31611.77613897516,32198.67542660741,33260.358186996345,33079.39490217467,33668.57043753738,33811.36332761329,33144.686689411006,32798.8183783941,32666.29049652987,32169.14356930463,32208.46180439104,32240.48305509444,32355.477562215412,32356.656922410897,31774.558742095636,31621.20516260924,31421.692396397055,31329.466940500988,31187.84467230356,31034.404583518663,30888.893162240776,30745.904795926075,30580.621665241593
Finland,FIN,20899.544211433047,20530.70890252687,20281.35876186208,19945.16104963373,19428.285179906365,19412.917006053805,19151.29351718844,19075.39382613192,18903.93151957009,18731.68085583528,18561.921644194354,18208.02201677492,18003.953389539292,17908.335536547114,17972.59597728971,17820.41403255464,17511.775605400762,17506.197849909462,17379.416061661726,17226.297387181807,17063.857504586726,16837.55437806925,16679.070431884807,16481.001430060303,16232.669063858672,15975.75178401624,15996.86636136674,16030.72610084563
France,FRA,18488.429290894634,18302.591153036952,18063.26796712106,17933.49198142584,17672.277898869095,17441.076206345653,17274.55312042798,17108.515433947992,17171.914965398435,17053.761798082007,16869.49218526142,16825.13429531559,16704.705831617957,16567.811616203428,16148.796573464397,16056.519954974612,15899.808114931351,15732.23896210307,15679.68218238695,15658.023083004728,15523.211371531344,15384.543615844848,15238.92494190843,15089.223900420026,14898.562078603636,14839.989526643634,14702.710880415443,14644.809142080372
Gabon,GAB,27551.80161954256,27291.792978469715,27059.20508489049,26762.46806168099,26836.626266249492,27023.037218585338,27023.383182383182,26751.580261859952,26538.586619269132,26252.312739127225,26237.006400799382,26212.50130227425,25840.569516853942,25867.18466736732,25769.98955879251,25607.45513371579,25581.028429885344,25272.969348288774,25107.69125427731,24751.2497175384,24233.18310251497,24014.2482904532,23711.343825051164,23353.68741836083,23170.633006981425,23030.173704978573,22806.19674022756,22594.83858067693
Gambia,GMB,26524.011133867203,26364.795435647105,26180.672467852994,25976.09703541864,25899.47612325799,25827.840344942775,25769.06724268867,25713.415907231272,25630.733622097818,25512.51453749247,25423.24731145494,25534.79419103689,25604.812239373976,25605.2372731295,25783.177745410925,25805.494079203578,25788.533478289504,25724.06498234926,25577.79010886681,25435.34325889139,25314.521091854436,25257.660450888736,25279.369237102204,25216.44212262696,25126.90393032225,25009.638029201393,24836.180698177115,24681.45592116711
Georgia,GEO,23567.7312618013,23626.6143996325,23694.140496554155,23370.37595652688,23689.456435308886,22705.645917507165,21960.282022789223,21674.28601093021,21575.57330218304,21432.23623434466,21468.708237201103,21688.430097519515,22556.94722832811,22653.818263181773,22468.7785439303,22109.893512897157,21892.13977295565,21916.964838446056,22541.54810669443,23138.601432975225,23148.86911309518,22983.469571203135,22842.505745815237,22658.601510525983,22595.45698906549,22779.54811833002,23112.27785087162,23146.41688074194
Germany,DEU,21331.65550765166,21120.292502317938,20727.926614584332,20564.58727648845,20259.87868069816,19998.325239077592,19735.894984953833,19361.99420104584,18926.793647664912,18675.122285523237,18454.382378455284,18172.23611849975,18077.73458709396,18012.83534734384,17612.624242386228,17382.135675072976,17165.448710652283,17052.880888291675,16950.78618336824,16891.400279695335,16777.24973348779,16669.395921255706,16504.787424224916,16563.609988669647,16352.81574683688,16523.761205643284,16607.021245109256,16560.72048521899
Ghana,GHA,22958.805463690343,22781.6587442619,22695.763209284265,22483.126491646453,22447.94586111164,22465.83836930589,22687.2957842342,23043.666656287423,23142.46456475015,23339.060776765524,23532.27320961283,23516.80026113438,23474.861029806765,23468.965089718575,23402.732132755536,23497.401582559225,23557.46919348514,23507.569763846535,23214.839972314632,23120.86807825026,23017.97127278222,22931.69090883945,22772.5733320475,22638.50433009267,22540.276821184096,22534.005428368582,22481.445027615853,22158.15038133856
Greece,GRC,18665.202934604997,18605.194974805443,18614.53175853942,18333.597903108683,18185.953252773463,18128.802663339517,18027.17818555715,17794.71842079993,17762.662162657776,17735.48910957557,17554.747294949724,17430.643263102374,17336.69363409045,17381.26817247544,17444.809742520545,17294.294170311423,17061.859256847063,17242.150030252895,16987.117591436225,16870.36962445606,16718.542988778874,16711.967565744748,16688.36356483862,16402.504261626375,16262.038098601332,16308.058951883935,16328.395379495243,16276.462793055822
Greenland,GRL,29650.69062889151,29316.729421901655,28926.357423152633,28569.12279008632,28204.850904934505,27875.1870341081,27583.94953049995,27308.47497747624,26994.455567103774,26786.70042920047,26512.42378696303,26212.025868857363,25877.33507896783,25555.72510824427,25195.37130048827,24849.46499979762,24432.993647937452,24073.76603602924,23708.42213827121,23393.42016603538,23065.735706552492,22753.75687708964,22490.536906863155,22307.45556840332,22093.56585449648,22174.67821802744,21957.482800603077,21845.550666696377
Grenada,GRD,26081.58875862429,25421.665557368065,24932.16133011001,24398.408410659322,23884.8772335349,23321.40063365845,22716.138040169662,22238.55341109559,21792.155582724772,21230.62687535452,20931.957846400783,20776.11956399962,20747.531538168416,20684.783036056982,20666.31732241361,20648.74282247262,20717.12167359719,20754.1321904822,20851.099109844563,20985.15458752874,21123.79786868582,21215.357274972608,21067.203416756747,21090.24223087874,21183.7504783177,21173.94825127837,21113.43457525287,21026.77794490282
Guam,GUM,21574.58292358304,21815.663853599675,21974.65733158633,22036.54094395411,22122.20629861919,22026.067016275498,22012.894829041725,22021.997839935524,21982.946741824268,21994.217559813977,21921.303959152676,21895.789308650597,21889.324385084114,21831.164057702692,21904.42083992914,21981.393509612182,22143.20673642519,22333.16058493092,22478.83212359379,22630.87721599689,22548.811706681372,22685.33782534444,22858.7935862052,22863.93135917331,22949.277870880975,23160.51768301177,23210.18339804327,23168.66150188223
Guatemala,GTM,22147.119701037813,23179.879846130854,23688.85236073121,23752.10303894353,23801.4310511348,21714.288095904,20787.558285361283,21339.19366799692,21464.132728955836,20711.8678159461,20985.365577438937,20595.872455900524,20170.799126097412,20325.98223729767,20316.410552333466,20472.1000723155,20414.48531577711,19764.46666246823,19447.80818380044,19791.41755727578,19675.048904626892,19566.79548788639,19494.35891024642,19348.796541315005,19519.796695865367,19530.479564414873,19756.16715849672,19725.19293569351
Guinea,GIN,26683.182129451972,26460.54733973028,26367.07590416545,26248.779878757327,26161.498836160434,25958.482436493538,25876.41175078241,25722.54097973928,25670.0590771921,25772.24000932622,25681.527739152443,25708.6171211232,25679.340959705543,25631.099330017925,25758.272884293503,25725.912869700405,25862.61683578846,25906.995989558585,25877.86953873259,25873.348814423873,26001.34215575552,25997.63491125371,25964.611198788654,26018.230459601487,26069.409216366013,25942.22796167709,25749.37099242325,25517.865720175392
Guinea-Bissau,GNB,35374.64195732096,35089.27184852339,34877.594852080016,34666.167668433096,34441.58237766104,34190.414169948344,33924.78035842241,33598.043815233556,33381.16938405485,33149.07429922031,33195.257108992795,32968.69514608513,32788.48696536223,32512.583773006176,32403.103390969023,31860.302153677596,31682.10280298112,32002.199273408947,31688.013788681674,31380.709509757304,31024.286065051077,30576.32242900064,30134.429227850513,30007.14904264192,29755.33312972857,29444.38212973579,29182.03699555551,28767.326043115783
Guyana,GUY,27735.092882713263,27057.2049328127,25929.062327382897,26188.875386486165,26101.2867679989,26941.91551396983,27334.68960323612,27103.400711173617,26844.39500902447,26270.98485192837,27023.28334049779,26604.57311168452,26474.704646826867,26182.26965923251,26079.29156178059,26316.96354352168,25931.37768567359,25471.064667463423,25041.236352010255,24700.35812328448,25542.342190173673,26246.75385909862,26481.02294603692,25979.22897238889,25620.120155293014,25240.39957816587,24915.90379091941,24623.70560823202
Haiti,HTI,36446.240952079905,35976.168536926736,35503.873233723774,35268.78599011836,34944.33059463653,34548.77386963336,33957.03310425231,33453.48757926116,32966.295695390785,32612.265950420457,32128.18794707959,31721.421069710927,31343.37149497895,31102.08978004329,30840.70846230468,30653.04202523432,30477.903735568667,30268.424752234296,30091.837332195857,29915.344399330552,29937.24155353492,29682.92161632407,29456.6837613577,29222.199569234952,28999.50548000041,28718.96922772223,28468.97078460349,28208.821570093423
High SDI,NA,20035.45814333671,19858.443036006414,19584.531412420853,19450.048465906715,19236.628163633195,19089.274278454544,18846.499717491213,18627.42286177464,18493.17660466977,18374.411142425128,18153.44678369428,17973.909882351727,17831.5610975981,17708.90810058699,17428.536829787743,17315.976879478712,17132.901196212664,16993.995096752213,16872.825627308102,16728.882403480602,16556.963265682356,16484.475755192252,16373.795907391332,16293.153372905072,16210.253608500723,16233.769287872805,16250.429990345952,16236.15009718798
High-income,NA,19900.779558679955,19696.11149247177,19435.622570013635,19321.26781334666,19086.30258652921,18951.009137327936,18747.63981613902,18537.612870316687,18429.9613153788,18330.25079102161,18128.799730087827,17972.44500188753,17862.51478795665,17754.687749294288,17459.036577310293,17339.802441329368,17167.91216907827,17048.46481364059,16935.443365598214,16819.51135175598,16663.050642696075,16597.64799714704,16492.25326730721,16427.736834963118,16351.781251804803,16373.076362726591,16409.283596767265,16410.45605228074
High-income Asia Pacific,NA,16985.49915790815,16804.214119140688,16603.31267489651,16402.02525692589,16142.876305151303,16018.892156658165,15702.84097114266,15451.384335681145,15381.076533392235,15244.066574887363,14971.32650234145,14740.80498825217,14528.30692440488,14415.813055479372,14245.339344595595,14147.175303640694,13949.669064522996,13827.172293885706,13718.241192358691,13596.518675518922,13538.350938398053,13488.328553239002,13322.051048199495,13179.128146956762,13047.138313116,12892.29701137253,12828.379108496145,12805.542689728483
High-middle SDI,NA,24855.24529131602,24840.47810702229,25089.265662856567,25675.246425230296,25891.98862990932,25608.62898356044,25058.97249551916,24483.35387974476,24030.25620935691,23983.011844380497,23818.74075756346,23539.045578154022,23412.903532940654,23235.158731828025,22904.287011643308,22670.41965637366,21899.17566681745,21431.34746371469,21191.04458383449,20832.116188420507,20636.032440002917,20254.855444503377,20028.498813058,19763.65672441849,19673.830173929386,19690.39903551865,19422.14993587088,19050.56822346817
Honduras,HND,21958.699941820236,21845.598088389703,22161.62765031181,22042.718671486575,21788.65295261545,22393.69931598196,22278.8880897349,22139.734368772755,21986.776214709076,21879.974845001063,21756.72470713349,21679.857774595832,21584.139850363157,21537.56414935944,21465.21225930013,21351.68963218593,21181.36044163646,20996.104597175017,20745.13863029447,20538.898487583963,20402.11898099439,20309.034023547596,20081.803821245496,20006.730996826664,20011.693784239575,19898.68533132706,19785.342940248025,19640.796747621334
Hungary,HUN,28094.197607245984,28052.36469916103,28727.246833064917,28870.137233713333,28414.734512933464,27964.102247192095,26908.539901284035,26561.544915494465,26717.483699976387,26538.702550045833,25500.17489520835,24760.29841815409,24611.162852629433,24562.161369471814,24144.198503480897,24175.62932411034,23695.01152151353,23574.569924920273,22927.60675798647,22680.85996084794,22210.21135640325,21809.181768565213,21499.459852582455,20962.860987785265,20682.68155259803,21130.86328263612,20162.37994704521,19716.378292635232
Iceland,ISL,18596.193279387076,18420.40903983341,18191.11038007878,18016.519569465778,17879.574873051522,17755.780401272572,17685.495811050005,17521.684467347408,17240.946538800505,16960.350256498572,16715.531283278295,16450.83495377953,16192.17465903739,15935.29501031353,15786.190257245264,15621.339146167713,15439.366348786769,15274.49786396922,15188.833975752956,15163.753263713454,15018.468705253925,14877.693465044542,14858.02770968907,14848.661656231274,14855.569836654706,14852.972314436473,14835.310473751184,14841.006625041127
India,IND,26740.373131151617,26704.381981503193,26651.59683891242,26222.750851933484,25872.19500919674,25518.939452981765,25428.349312503506,25857.573582964465,25682.65049730692,25125.53171330227,24854.66822430283,24582.52576229774,24156.632924624057,23641.91805976774,22937.282470983493,22802.845403655658,22781.99857040629,22793.3331289106,22825.03291990693,22816.449385846885,22894.879327791165,22918.387889061727,22800.61294729531,22725.424074721843,22699.709116910417,22722.646587082047,22790.084348574877,22627.99802008298
Indonesia,IDN,24829.97200671623,24701.886379884974,24579.635461652095,24494.71741810714,24378.889624045725,24277.06633036189,24193.186075891077,24127.37132332626,24119.769497546306,24136.914286740088,24166.383887930064,24165.613495406247,24189.217805614386,24172.883803954697,24146.63254244846,24048.661143735342,23962.284787473924,23858.091308917585,23835.046732346535,23748.89316631912,23597.1739246038,23450.625765247936,23324.663265846742,23212.940732099527,23086.857737146693,22974.503423577415,22807.269776142788,22612.724048180004
Iran,IRN,24809.76209489192,24524.47172108255,24363.763895741235,24164.22070301312,23887.855354303894,23592.34087509192,23162.5690731515,22767.02126522695,22391.180498573016,22118.524253828746,21999.396696540945,22031.73325097095,22103.16725674387,22128.354914436168,22150.80345963652,22097.929441366417,22036.363751845565,21901.16789739691,21826.02050759937,21737.6463865452,21612.238361245225,21460.366105940964,21301.914529227655,21161.298304856417,20945.579903976577,20719.11831586697,20333.08892919749,20024.061911030956
Iraq,IRQ,31036.779056306397,31307.758381498512,31436.403453647104,31833.35763881487,31962.81029473835,32201.834006498935,32510.561841332354,32699.271113970703,31708.02792580047,31099.431297865736,31036.182087653673,29715.834467279394,29578.63455584824,28622.50471568033,27580.231132611538,26701.068919222525,25806.65849599183,24776.58477567215,23715.774886852247,22800.441590196395,22023.95988092943,21145.516250396064,20397.712034127933,19908.128212224114,19320.06508418768,18691.028140730097,18336.061564215204,18124.297516223513
Ireland,IRL,21961.347901005225,21592.923054703493,21352.349146961045,21225.555944910535,20877.539906225793,20949.547204951523,20595.669247278835,20488.8287738719,20291.672256559337,20193.7176003636,19955.146398036424,19419.249518570177,18992.171771343263,18550.218571063597,18290.998400042663,17914.446199448645,17734.073490998377,17457.559836763838,17429.032387221152,17393.953148516517,16708.275930223685,16678.692720006457,16590.386965656566,16391.86511826302,16189.09332445336,16069.291527470456,15896.590512048902,15872.557249193524
Israel,ISR,18946.839091939204,19274.948582511857,19491.51704342772,18980.180905187484,18805.65924240887,18669.931342175085,18380.124354498395,18274.56369637829,18189.747768387555,17921.928052615083,17761.210247587525,17418.651173551934,17248.989401716706,16938.874347430832,16608.89833398136,16491.48436809057,16231.533067444496,16090.321115740178,15764.373474042211,15483.922757234017,15285.829832616988,15209.20008018081,15029.895327479557,14908.914988565475,14726.824939145798,14693.212603596015,14548.59977639813,14464.830741494798
Italy,ITA,19324.698591220375,19277.837878209768,18951.00886291005,18627.7802351836,18444.186386821544,18225.248618337035,17985.06349202246,17757.024831093226,17687.671623680126,17356.649302046444,17074.32883885016,16873.047912159418,16684.06340390261,16621.166508106435,16204.640996627066,16055.835800238894,15875.102264974768,15738.876322313296,15639.762583112462,15534.860171697,15296.713510055144,15243.164173983594,15147.977882908654,14980.728311878756,14810.66380343952,14860.836064154097,14615.704082971628,14506.885783802709
Jamaica,JAM,19571.84058441948,19300.73238962239,19787.76224520771,19852.87825633135,20014.950250653223,20149.76312486171,20191.99815742162,20192.211455341345,20230.35039304074,20425.43066779341,20066.73627839813,19731.5143780794,19141.95979704067,18544.533656836757,17973.122185240503,17483.868131251264,17420.403873600986,18043.253747384315,18618.54798913792,19149.156367639887,18566.911134926464,18632.483023893456,19003.828831939885,19650.374991278684,19935.398464967173,19967.025908380812,20203.012376914077,20083.04916906675
Japan,JPN,15728.357336632784,15617.58471684406,15545.03041365246,15420.28437667431,15169.146269116143,15142.178520087054,14861.338351851977,14657.952348454432,14663.481993144858,14551.955740744192,14285.53050913246,14101.984323424202,13920.88860126863,13861.183533767118,13745.047590318449,13732.401383223443,13584.634138541918,13499.186833355714,13423.609655755105,13328.533935330524,13298.86192960425,13287.240406063956,13129.914393066025,13017.975610209334,12919.704292217451,12770.525776045884,12732.487082374966,12717.804105688174
Jordan,JOR,25425.088588058486,25352.364297745455,25185.75601283823,25436.918680682353,25394.52938262809,25469.630970710154,25547.924865162702,25351.047542703527,25200.64853303901,24962.62709712705,24513.770229420545,24185.094038149848,23801.513047373228,23091.296884696367,22734.63261541865,22217.06914043676,21880.104229791115,21181.954105992063,20485.29529398261,20006.14583359333,19599.036038626546,19323.1342802838,19000.665834097403,18710.73376283476,18674.558820429636,18509.108752818112,18389.810369596544,18285.87542018986
Kazakhstan,KAZ,25711.66474676866,26172.135855386452,27084.72252256856,28704.370396354545,29906.72823384801,31381.091278292966,31678.046014147916,31181.831624275637,30354.328930369164,29709.548273236807,30393.65064037307,30594.82833484161,30748.023680588863,31235.975245480575,31203.00849980251,31378.206098253,31247.134672242883,30396.31952230135,29188.96565107049,27999.338961108388,27896.306514056298,27424.250076354612,26769.75140805296,25656.161298838226,24682.5509668678,24100.954759610464,23952.187414903856,23691.359979721867
Kenya,KEN,21896.944006245336,21926.02907196828,22026.39273682648,22112.257483769255,22206.806047185102,22308.247026625315,22371.81831017337,22450.709217540672,22536.76847998684,22469.66376363993,22600.46408555155,22433.107328525108,22446.750235971795,22432.836610761144,22431.948128529417,22364.381585999952,22273.95411703888,22144.193039684807,22004.85802547145,21900.718293324884,21882.254665432647,21749.568868025064,21504.21113741354,21207.914877715088,20941.084764541272,20747.992082107987,20608.795374466372,20462.47737367927
Kiribati,KIR,37771.82356758691,37853.302201471,38080.933462937835,38243.2272322571,38226.28128784316,38278.60838820079,38426.26113024647,38592.69300164668,38812.56744903549,39236.42213550452,39400.70216976002,39385.22353903326,39364.289141566274,39263.47421045268,39172.939480567664,39070.39515496184,38919.52008696977,38930.41052152752,38763.94610858036,38612.506488871375,38441.6532008977,38252.21357666653,38002.83868277901,37774.86311505888,37546.7484133594,37278.72283276458,37005.87661981078,36727.69821687846
Kuwait,KWT,19336.13808283701,18285.447657585144,18096.69670639182,17738.72309470752,18028.473583747003,17978.559711538637,17665.57405318269,18030.4802501507,17918.588554365637,18094.80374815486,18095.768118193588,17534.12784872244,17440.674526125382,17369.727603782034,17450.138295944456,17482.375099417673,17454.113378715414,17240.378071662853,17234.82594461056,16910.128979893037,16191.503581298495,15667.391182205389,15492.318053204664,15254.323715293409,15075.898201336404,15072.87245447947,15018.099332925083,14984.639273584957
Kyrgyzstan,KGZ,26910.21026990092,27285.230694644353,27852.14482662088,28748.86505176432,29424.157867674243,29336.983053596115,28943.836263586363,28613.343025406823,28356.578102672665,27895.32394394459,27837.114318890664,27886.473960260875,28061.00402461848,28254.374363920564,28339.657367567233,28464.656099335047,28443.334235583246,28026.91839754913,27160.581168158365,26157.22022907758,25560.36380487263,25114.01915767083,24670.544345307193,24220.71111901654,23744.25970295003,23097.49126540996,22409.52455845745,22193.41735383467
Laos,LAO,35274.049762125294,35041.58683173577,34746.36503684887,34473.72274307173,34216.57349364464,33950.7894304602,33695.33190669468,33437.80403538685,33114.88534770528,32686.98858642762,32235.003764610177,31901.47726766962,31323.42176205002,30848.109014752423,30398.514514743736,30018.36624034521,29599.9167899814,29108.54772645281,28818.979796884665,28383.48282003868,27882.52689303108,27352.80981621722,27018.57165152047,26686.39560342694,26359.50000687215,26040.761768562777,25738.29797237337,25417.596888244887
Latin America and Caribbean,NA,22396.728081100693,22156.29625557849,22119.9152437952,22084.225681162858,21918.959823879875,21703.732205410324,21449.867993161428,21194.55107745032,21074.04263529446,20859.078197576127,20589.474976825288,20350.017957213335,20238.539246391814,20129.803077397944,19902.94517623643,19686.14922956253,19473.725329992827,19272.33800555147,19217.491435760352,19186.49500877098,19020.54041585271,18821.95997759009,18674.97479539312,18555.8449703025,18442.455598049397,18340.801826153027,18348.312818232494,18337.66737380237
Latvia,LVA,25711.288303710196,25947.967013949903,26652.089300972504,28829.817335462863,30468.293308989258,29194.181243777657,26480.86147514218,25675.11588131507,26257.52529798543,25361.69585044751,24918.08600409341,25633.40534218767,25375.390270362015,25016.974723080853,24804.28741975597,25319.573929284965,26154.560499921485,25556.20948406501,24171.01948037953,23425.56443310397,23085.95808255479,22447.49658890148,22050.295381656473,21995.872888380814,21606.94399172621,21250.519677763023,21150.878658203233,21023.883621170156
Lebanon,LBN,25641.85297673836,25215.500681936315,24916.10848162051,24622.997242550573,24175.669287792865,23803.046406611,23349.452657799186,22938.10492786416,22503.247231110156,22070.667328245698,21760.058632404915,21556.349715695127,21388.826708554006,21274.42016650167,21183.803140282602,21077.50404973314,20979.269954276,20910.489621347,20840.021718545435,20753.387162578536,20611.691252891364,20533.881653167336,20372.344993364637,20291.28387577807,20300.656033026295,20288.45843064685,20240.134502780893,20182.106344235573
Lesotho,LSO,25622.55803910457,25389.027371937518,25323.334089430737,25262.51154072398,25422.228461295497,25467.43585412683,25587.698390153924,25981.491039283195,26822.335916271735,27596.231085212723,28829.77729423998,29293.560953736553,30066.42117456369,30904.488826605193,31338.87187064174,31665.820439994568,31656.16907052125,31706.821195161378,32021.811487575564,31641.552024121094,31485.166174570495,31294.7475742558,31325.150479826592,31327.49524151036,31172.859439869015,30937.68888923807,30166.78589953008,29306.209257577164
Liberia,LBR,28060.754003981903,26874.064862934167,26547.289438068987,26912.979928803365,27014.060600363697,26375.3008866841,26417.897074955657,25983.77504153074,25656.29478438347,24995.44393041364,24437.75709099785,23931.17788850139,23617.63729254432,23287.245089015567,22959.824507896847,22740.448410276607,22552.07643127722,22400.002398900164,22334.04219132871,22476.212113949194,22467.221437355773,22488.72672328126,22808.25136018253,22776.637147891714,22496.8177092614,22346.511681713324,22235.991012880113,22039.908525970928
