country,iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Benin,BEN,24819.902756588763,24718.935575670224,24602.90413221072,24445.19677914091,24456.31999822187,24442.173527771953,24457.259093900346,24339.16230307339,24249.69288555875,24126.68861529191,24062.470230660387,23928.71142083392,23845.004819245976,23599.474960672644,23376.98567028094,23056.39400589795,22848.624762503565,22661.713077336874,22492.52492615514,22441.021365060416,22408.44160965473,22517.87093369999,22630.87994124794,22569.113216026333,22383.434330251977,22194.016096413907,21942.59417693147,21699.87455576045
Bermuda,BMU,21357.036572310055,20801.699768419767,20471.825566043663,20207.253704192557,19681.640075822987,19061.27734654523,18895.777016445707,18405.45154881868,18096.1508105507,17794.438255510864,17549.815268799048,17171.462711256732,16954.041874015642,16771.22029914561,16537.650625452217,16306.797286505822,16154.463699568503,15931.62731974775,15748.606457810523,15583.16386487689,15423.130224540926,15275.875680220002,15184.966386195794,15114.180823445986,15027.567999915243,14939.608035754873,14906.5520038718,14864.237765715989
Bhutan,BTN,27027.09660500774,26840.98750408699,26788.93803810082,26572.720944309025,26318.023978919715,25966.81689469974,25466.740115734567,25196.01724195235,24755.995138941653,24224.340286510036,23920.15884208566,23533.860526408236,23117.93763215459,22838.429725453287,22520.935231508985,22268.596220323037,21921.219020635195,21641.01950630993,21312.268188340717,21027.555265808005,20703.426739896204,20405.65959352415,20114.107521802784,19894.3315401296,19681.281502493024,19482.120642807535,19290.5895988663,19100.635662059696
Bolivia,BOL,27203.074094874697,27055.69297586202,26765.970210908512,26580.855332443127,26226.483144161568,25974.070432279677,25583.784745038447,25421.93772626603,25078.011082167108,24796.109071635787,24487.722165734725,24132.752646562494,23956.846933862656,23707.108771503965,23475.27796808872,23300.118647739146,23010.036548005653,22812.27301236153,22479.334102525383,22162.61354500307,21863.558388997197,21582.888239646367,21318.345099608057,21073.490791010645,20861.39034454617,20682.256424478222,20530.12874199963,20376.326368691345
Bosnia and Herzegovina,BIH,22122.76353069089,23072.39608589356,23634.61440714526,23879.54440684476,23827.33269692286,23550.35136306214,22903.311253197284,22015.452051221575,21037.525207985425,20887.12964595254,20802.745716834102,20669.13563406388,20662.849338480555,20249.20044793199,20026.21076605374,20344.64770066569,20281.04552944526,20610.488450378416,20120.07848611022,20062.74495780921,19918.5432259206,19797.933408078497,19629.131129136924,19725.91276927744,19673.453101648254,19865.437713480304,19769.81203676494,19597.397081580835
Botswana,BWA,22615.340239653346,22413.552431743516,22199.09337062324,21912.62583919175,21572.377325151592,21152.51734094582,20540.9136487507,20080.242366296796,19827.72113983553,19717.827482273333,19824.662590002863,20021.871194663112,20368.65820965205,20687.593350170104,20842.283047410667,20776.33205646371,20620.89031178598,20268.389580920735,20587.68773560658,20695.391170132607,20576.04651901067,20533.991062911577,20319.131061315085,20214.969620420172,20127.71139858531,19967.99880153941,19650.822258873,19438.292508963434
Brazil,BRA,24961.59504805394,24478.2365401703,24306.507105787376,24302.401603534006,24030.14487863443,23729.59999451879,23484.107405090475,23230.738677520585,23118.971749927063,22997.087400945053,22719.06727798757,22442.648341965883,22180.588809056615,22010.716865840623,21767.970679600956,21366.897488750987,21119.457772284473,20877.15004496421,20637.036788030404,20437.713823874004,20257.301703627236,20084.45349844934,19840.309713357223,19627.90043056675,19392.18248849806,19250.499616483416,19267.290240434544,19290.940528435334
Brunei,BRN,25860.133173447168,25493.88981485301,24994.47424159455,24423.541077041235,23930.82985962923,23411.806315405312,22951.925441153544,22455.737624278387,22131.581424128337,21805.087242403857,21645.81619767932,21403.055313845736,21228.94867922232,21078.257446111264,20905.154515890285,20737.919864481617,20592.80922221066,20498.165872181144,20373.187869497586,20308.91208498422,20242.511660207176,20343.821964750263,20322.16215168506,20245.463527040403,20154.12211067352,20139.016535944607,20016.20891320698,19864.914858587355
Bulgaria,BGR,24463.525074560792,24239.62588381893,24748.698081043556,24760.7593575866,25410.57178927113,25420.37680764434,25555.692358060987,26350.929245020827,25712.973176166215,24958.078079198964,24919.336716665257,24633.119357034862,24373.460670793917,24071.24937079751,23953.144236871125,23911.716034341986,23827.517051232768,23395.612320275173,23006.16832281961,22740.421474928844,22542.656270244053,22236.460079730812,21783.54414218589,21528.017594892863,21905.14531243875,21542.75244342532,21471.890625970937,21449.264330734673
Burkina Faso,BFA,25719.910281097007,25408.482229486024,25237.092990790505,25083.63292373571,24960.346789901974,24830.476986374615,24712.79885657946,24711.848753752063,24674.925460763065,24778.88722749335,24950.50335361587,24721.22752677244,24651.215783028732,24435.664559766938,24299.031408951287,24130.748300446197,24131.442783364757,24005.083847387028,23947.502236792247,23918.16430169778,24019.46118262996,24001.723426765067,24189.895141340297,24262.48155301524,24296.9446263389,24302.12957172063,24299.02778362365,24089.65099935639
